Price,Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price_Sq._M.
198000,Used,Homes,Apartment,3,1,76,152,0,38.7792,-9.1186,Olivais,2463
1270000,Used,Homes,Duplex,5,3,190,380,0,38.7056,-9.1784,Alcantara,3125
140000,Used,Homes,Apartment,1,1,26,52,0,38.7058,-9.1639,Estrela,4005
995000,Used,Homes,Apartment,5,4,185,370,0,38.7466,-9.164,Sao_Domingos_de_Benfica,3412
570000,Used,Homes,Apartment,7,1,150,300,0,38.7323,-9.1287,Arroios,3277
425000,Used,Homes,Apartment,3,2,95,190,0,38.6965,-9.2099,Belem,3542
130000,Used,Homes,Apartment,3,1,76,152,0,38.7544,-9.1129,Marvila,2881
215000,Used,Homes,Apartment,3,1,81,162,0,38.7561,-9.1796,Sao_Domingos_de_Benfica,3412
196000,Used,Homes,Apartment,2,1,58,116,0,38.7792,-9.1186,Olivais,2463
925000,Used,Homes,Apartment,5,3,286,572,0,38.7632,-9.1687,Lumiar,2927
170000,Used,Homes,Apartment,2,1,68,136,0,38.7449,-9.1209,Marvila,2881
440000,Used,Homes,Apartment,3,2,97,194,0,38.7077,-9.2059,Belem,3542
235000,Used,Homes,Apartment,2,2,72,144,0,38.7122,-9.1299,Santa_Maria_Maior,4807
565000,Used,Homes,Apartment,3,2,120,240,0,38.7796,-9.0938,Parque_das_Nacoes,4162
217000,Used,Homes,Apartment,1,1,65,130,0,38.7807,-9.1628,Santa_Clara,2393
450000,Used,Homes,Apartment,4,2,137,274,0,38.7463,-9.1439,Alvalade,3623
115000,Used,Homes,Apartment,1,1,63,126,0,38.7269,-9.1649,Campolide,3036
490000,Used,Homes,Apartment,2,1,70,140,0,38.7102,-9.1491,Misericordia,5112
350000,Used,Homes,Apartment,3,2,101,202,0,38.7622,-9.1536,Lumiar,2927
178000,Used,Homes,Apartment,2,1,56,112,0,38.7842,-9.166,Santa_Clara,2393
249000,Used,Homes,Apartment,3,2,90,180,0,38.7445,-9.1913,Benfica,2727
155000,Used,Homes,Apartment,2,1,66,132,0,38.7172,-9.1349,Santa_Maria_Maior,4807
1350000,Used,Homes,Apartment,4,2,158,316,0,38.7118,-9.1328,Santa_Maria_Maior,4807
199900,Used,Homes,Apartment,1,1,78,156,0,38.7297,-9.1337,Penha_de_Franca,2973
450000,Used,Homes,Apartment,4,2,117,234,0,38.7335,-9.1363,Arroios,3277
390000,Used,Homes,Apartment,3,1,100,200,0,38.7395,-9.1327,Arroios,3277
660000,Used,Homes,Apartment,3,3,153,306,0,38.7568,-9.0944,Parque_das_Nacoes,4162
275000,Used,Homes,Apartment,2,2,76,152,0,38.7523,-9.2049,Benfica,2727
320000,Used,Homes,Apartment,4,2,110,220,0,38.7321,-9.1284,Penha_de_Franca,2973
110000,Used,Homes,Apartment,1,1,60,120,0,38.7116,-9.1647,Estrela,4005
179000,Used,Homes,Apartment,2,1,60,120,0,38.7116,-9.1647,Estrela,4005
125000,Used,Homes,Apartment,1,1,30,60,0,38.7116,-9.1647,Estrela,4005
179000,Used,Homes,Apartment,2,1,60,120,0,38.7116,-9.1647,Estrela,4005
